"","Row.names","p_val","avg_log2FC","pct.1","pct.2","p_val_adj","SYMBOL","ENTREZID"
"1","AAAS",4.26061742433995e-31,0.0129060726165737,0.07,0.026,6.51277979484604e-27,"AAAS","8086"
"2","AACS",1.62162441270179e-29,0.336947335546602,0.06,0.021,2.47881507725595e-25,"AACS","65985"
"3","AADAC",1.81808710474336e-15,6.22824696982718,0.009,0,2.7791279483107e-11,"AADAC","13"
"4","AADAT",4.62979994564072e-19,2.3313748095202,0.013,0.001,7.07711219690641e-15,"AADAT","51166"
"5","AAGAB",3.01368696921498e-31,0.54927528547397,0.104,0.048,4.60672190114203e-27,"AAGAB","79719"
"6","AAMP",2.21611733824994e-13,-0.349394784900186,0.249,0.185,3.38755696324886e-09,"AAMP","14"
"7","AAR2",3.47856435246592e-16,-0.0763502501775308,0.044,0.019,5.31733346917941e-12,"AAR2","25980"
"8","AASDH",2.45715860189692e-14,0.338775537198023,0.038,0.016,3.75601263885963e-10,"AASDH","132949"
"9","AASDHPPT",1.30811959600339e-16,0.358690541365121,0.051,0.023,1.99959161445078e-12,"AASDHPPT","60496"
"10","AATF",1.56766312722771e-16,-0.0420506627173052,0.105,0.063,2.39632985628027e-12,"AATF","26574"
"11","AATK",8.9971293409841e-15,1.70321216819472,0.023,0.007,1.37530119106283e-10,"AATK","9625"
"12","ABCA12",2.21539913393333e-32,8.74406659841601,0.018,0,3.38645911613049e-28,"ABCA12","26154"
"13","ABCA13",2.07437498015184e-07,5.54969100119094,0.003,0,0.00317088959466011,"ABCA13","154664"
"14","ABCA5",7.67577736656907e-08,0.257013079469838,0.149,0.115,0.00117331932825375,"ABCA5","23461"
"15","ABCB1",4.43379980048779e-09,-0.423464145476085,0.109,0.145,6.77750637502563e-05,"ABCB1","5243"
"16","ABCB10",3.58814131200104e-18,1.37593482610973,0.033,0.011,5.48483280952478e-14,"ABCB10","23456"
"17","ABCB7",8.43498216744605e-11,-0.292779491456888,0.045,0.024,1.2893713741158e-06,"ABCB7","22"
"18","ABCB8",2.094193511377e-30,0.423931376826491,0.086,0.037,3.20118420149088e-26,"ABCB8","11194"
