"","gene","p_val","avg_log2FC","pct.1","pct.2","p_val_adj","pct.diff"
"1","S100P",0,5.01091851419962,0.528,0.036,0,0.492
"2","LCN2",0,4.21904213745545,0.605,0.167,0,0.438
"3","CD74",0,3.52625589597266,0.563,0.133,0,0.43
"4","PLA2G2A",0,3.65968436579766,0.613,0.186,0,0.427
"5","PRAC1",0,2.94542978979347,0.482,0.076,0,0.406
"6","HLA-DRA",0,3.82997889659124,0.392,0.049,0,0.343
"7","TIMP1",0,4.41033232194945,0.358,0.023,0,0.335
"8","OLFM4",0,3.14238572832233,0.489,0.167,0,0.322
"9","FABP1",0,-1.27652048273263,0.617,0.935,0,-0.318
"10","S100A11",0,1.85089055898899,0.682,0.373,0,0.309
"11","REG4",0,5.99974203518601,0.335,0.028,0,0.307
"12","TFF1",0,3.29422863593734,0.376,0.077,0,0.299
"13","LYZ",0,4.32822214847521,0.32,0.026,0,0.294
"14","HMGCS2",0,-1.81590192859531,0.244,0.536,0,-0.292
"15","MUC12",0,1.60259706453631,0.519,0.233,0,0.286
"16","HLA-DRB1",0,2.94742354487567,0.362,0.085,0,0.277
"17","SPINK1",0,1.67390607746306,0.644,0.373,0,0.271
"18","PI3",0,4.85825253949028,0.338,0.067,0,0.271
"19","CALR",0,1.41989219230181,0.595,0.324,0,0.271
"20","HSP90B1",0,1.43917961699824,0.559,0.295,0,0.264
"21","YWHAZ",0,1.51474143793567,0.486,0.222,0,0.264
"22","AGR3",0,1.87521136916871,0.465,0.204,0,0.261
"23","P4HB",0,1.23767414344868,0.578,0.318,0,0.26
"24","WFDC2",0,1.32523885365196,0.435,0.177,0,0.258
"25","CA2",0,-1.58558284314988,0.459,0.712,0,-0.253
"26","SEC61G",0,1.28658083909787,0.588,0.347,0,0.241
"27","XBP1",0,1.40084311744954,0.421,0.183,0,0.238
"28","PDIA3",0,1.2886743821995,0.516,0.28,0,0.236
"29","SUB1",0,1.13043928897863,0.534,0.301,0,0.233
"30","HSPA5",0,1.48976148120109,0.426,0.197,0,0.229
"31","ARF4",0,1.38672415382541,0.397,0.169,0,0.228
"32","B3GNT7",0,3.44748405837155,0.26,0.038,0,0.222
"33","PHLDA2",0,1.52135176863821,0.378,0.163,0,0.215
"34","GPX2",0,1.14801456569933,0.698,0.483,0,0.215
"35","MUC1",0,1.76291447526494,0.364,0.15,0,0.214
"36","CEACAM5",0,0.931590782446779,0.582,0.368,0,0.214
"37","SPINK4",0,3.51346672045958,0.329,0.116,0,0.213
"38","TM9SF3",0,1.79210496198952,0.33,0.117,0,0.213
"39","TMED2",0,1.24932447001542,0.416,0.203,0,0.213
"40","IFITM3",0,1.53234158763017,0.407,0.196,0,0.211
"41","KDELR2",0,1.07107938284039,0.474,0.265,0,0.209
"42","SLC12A2",0,2.03298867235907,0.312,0.106,0,0.206
"43","DDX5",0,0.954898254042485,0.52,0.315,0,0.205
"44","RRBP1",0,1.25837598343144,0.408,0.205,0,0.203
"45","SERP1",0,0.859920103821889,0.555,0.353,0,0.202
"46","URAD",0,-3.03446819643947,0.037,0.239,0,-0.202
"47","UQCRB",0,1.24135011407743,0.677,0.476,0,0.201
"48","MUC5B",0,2.07443717529961,0.299,0.098,0,0.201
"49","PTP4A2",0,1.73606124427427,0.311,0.111,0,0.2
"50","MUC2",0,1.38586313699219,0.393,0.193,0,0.2
"51","SLPI",0,2.09726307918688,0.323,0.123,0,0.2
"52","CCNI",0,1.09684186555562,0.393,0.195,0,0.198
"53","SET",0,1.85099442539928,0.32,0.122,0,0.198
"54","EIF4G2",0,1.11676499631165,0.403,0.208,0,0.195
"55","CANX",0,1.57446327308789,0.319,0.124,0,0.195
"56","HOXB13",0,3.30945408031017,0.221,0.026,0,0.195
"57","LMNA",0,0.897915783034856,0.579,0.384,0,0.195
"58","SSR4",0,0.842140501912545,0.741,0.546,0,0.195
"59","PDIA4",0,1.578314976447,0.329,0.135,0,0.194
"60","SNRPG",0,0.974460219233762,0.514,0.321,0,0.193
"61","MARCKS",0,1.31793693217368,0.388,0.198,0,0.19
"62","CDC42EP5",0,1.25592965153272,0.368,0.18,0,0.188
"63","MARCKSL1",0,0.605596874101229,0.539,0.352,0,0.187
"64","XIST",0,2.36170225094279,0.272,0.085,0,0.187
"65","SRI",0,-0.939055782614032,0.644,0.831,0,-0.187
"66","SOD3",0,2.85980943422908,0.226,0.042,0,0.184
"67","TMEM258",0,0.836772430554114,0.594,0.41,0,0.184
"68","CD55",0,2.86550496725308,0.232,0.049,0,0.183
"69","MZT2B",0,0.67680875479582,0.606,0.424,0,0.182
"70","SNHG5",0,0.62727597660245,0.595,0.413,0,0.182
"71","YWHAE",0,1.04299396769736,0.429,0.247,0,0.182
"72","AQP8",0,-3.06846068864052,0.141,0.322,0,-0.181
"73","CTNNB1",0,2.258373489675,0.247,0.066,0,0.181
"74","MUC4",0,1.57888722277513,0.311,0.13,0,0.181
"75","ADIRF",0,-1.53742862494297,0.245,0.426,0,-0.181
"76","ANPEP",0,-2.59888994274356,0.056,0.237,0,-0.181
"77","CXCL3",0,2.73028216014701,0.242,0.062,0,0.18
"78","HNRNPK",0,0.713602082555345,0.501,0.321,0,0.18
"79","PKIB",0,-1.31618030602267,0.18,0.359,0,-0.179
"80","STARD10",0,0.638930634907471,0.528,0.35,0,0.178
"81","HLA-DPA1",0,4.4326742608653,0.19,0.012,0,0.178
"82","PPA1",0,0.902416866404599,0.5,0.322,0,0.178
"83","NUPR1",0,0.640217566435498,0.534,0.357,0,0.177
"84","TPM4",0,1.6088676605027,0.288,0.111,0,0.177
"85","ZG16",0,-1.0431916830288,0.349,0.525,0,-0.176
"86","APP",0,0.916728189789178,0.418,0.242,0,0.176
"87","HSP90AA1",0,1.00185847688906,0.758,0.583,0,0.175
"88","NCL",0,1.42533944508677,0.34,0.165,0,0.175
"89","SYNGR2",0,1.00077912680998,0.387,0.212,0,0.175
"90","BACE2",0,2.06652884466954,0.236,0.061,0,0.175
"91","SRSF3",0,0.735820734419299,0.471,0.297,0,0.174
"92","PDIA6",0,0.995291980821801,0.408,0.234,0,0.174
"93","RHOA",0,0.76789210171127,0.465,0.292,0,0.173
"94","PPIB",0,0.773159672366155,0.575,0.402,0,0.173
"95","ZFAS1",0,0.66971974169482,0.477,0.305,0,0.172
"96","TPD52",0,0.868925776215598,0.395,0.224,0,0.171
"97","ATP1B1",0,1.02015820396367,0.481,0.31,0,0.171
"98","CA1",0,-0.958153109186731,0.272,0.443,0,-0.171
"99","TSPAN13",0,1.37585362105309,0.29,0.12,0,0.17
"100","TPM1",0,0.627732707151363,0.583,0.413,0,0.17
"101","SNRPF",0,1.06313054071594,0.391,0.222,0,0.169
"102","PRAP1",0,-2.27983629610963,0.088,0.256,0,-0.168
"103","AGR2",0,1.9948884266221,0.868,0.702,0,0.166
"104","ZG16B",0,1.77356098171635,0.256,0.09,0,0.166
"105","SDF2L1",0,1.33645842528288,0.335,0.169,0,0.166
"106","HNRNPH1",0,1.66993732774453,0.268,0.103,0,0.165
"107","C12orf57",0,0.625982333703274,0.465,0.3,0,0.165
"108","DUOX2",0,6.82965413194849,0.17,0.005,0,0.165
"109","DSG2",0,1.57958314655932,0.285,0.12,0,0.165
"110","HLA-E",0,0.694842382053081,0.479,0.315,0,0.164
"111","PERP",0,1.00090137438114,0.372,0.209,0,0.163
"112","MTDH",0,1.16583939309933,0.327,0.164,0,0.163
"113","LEFTY1",0,1.3628765044304,0.335,0.174,0,0.161
"114","PKM",0,0.796193927796325,0.515,0.354,0,0.161
"115","FOSB",0,0.858474576063463,0.465,0.304,0,0.161
"116","ODC1",0,1.68018112413644,0.252,0.091,0,0.161
"117","MGST2",0,1.03667778684391,0.364,0.203,0,0.161
"118","EIF3E",0,0.966993171118624,0.424,0.263,0,0.161
"119","GLUL",0,1.41528716941752,0.276,0.116,0,0.16
"120","HMGN1",0,0.651706101571412,0.559,0.399,0,0.16
"121","ZFP36L2",0,0.667431822511313,0.501,0.341,0,0.16
"122","VMP1",0,1.37037242050955,0.295,0.135,0,0.16
"123","GUCA2A",0,-1.66100487768952,0.304,0.463,0,-0.159
"124","NPDC1",0,1.39487037854763,0.271,0.112,0,0.159
"125","IER3",0,1.08842531814778,0.392,0.234,0,0.158
"126","MORF4L1",0,0.972525581404791,0.341,0.185,0,0.156
"127","TMED10",0,0.919208004677523,0.368,0.212,0,0.156
"128","DUOXA2",0,7.13506018090786,0.159,0.003,0,0.156
"129","SEC61B",0,0.739982949026704,0.569,0.413,0,0.156
"130","SUMO2",0,0.655484659043947,0.488,0.332,0,0.156
"131","LSM5",0,1.15619850378176,0.319,0.164,0,0.155
"132","ASRGL1",0,2.09775344627287,0.214,0.059,0,0.155
"133","CMPK1",0,0.875954963290165,0.353,0.198,0,0.155
"134","HES1",0,0.840528209488338,0.445,0.291,0,0.154
"135","ROMO1",0,0.551111149827975,0.528,0.374,0,0.154
"136","RHOB",0,1.3885652245255,0.284,0.13,0,0.154
"137","ITGA6",0,1.63771885531794,0.237,0.083,0,0.154
"138","EGR1",0,1.2935946515796,0.32,0.167,0,0.153
"139","HNRNPU",0,1.26638331019598,0.29,0.137,0,0.153
"140","HNRNPA3",0,0.779189500390416,0.436,0.284,0,0.152
"141","ARGLU1",0,1.46674021344725,0.255,0.103,0,0.152
"142","TMC5",0,1.8161609689894,0.234,0.082,0,0.152
"143","RBM39",0,0.940427862457074,0.338,0.186,0,0.152
"144","DNAJB1",0,1.09562674220275,0.304,0.152,0,0.152
"145","POMP",0,0.770783243376671,0.565,0.413,0,0.152
"146","TSTA3",0,1.23860765083806,0.294,0.143,0,0.151
"147","SON",0,0.928958550348004,0.346,0.196,0,0.15
"148","YWHAB",0,0.564154660343789,0.524,0.375,0,0.149
"149","HLA-DPB1",0,3.84033714951707,0.162,0.013,0,0.149
"150","TPM3",0,0.772315589723469,0.41,0.261,0,0.149
"151","MT1G",0,-0.355108862825503,0.501,0.649,0,-0.148
"152","HERPUD1",0,0.877531937320866,0.353,0.205,0,0.148
"153","EIF1AX",0,1.03165234963248,0.318,0.17,0,0.148
"154","CD44",0,2.01956356234978,0.203,0.056,0,0.147
"155","CDC42",0,0.904985138031571,0.371,0.224,0,0.147
"156","MCL1",0,1.1186747113387,0.314,0.167,0,0.147
"157","ACADS",0,-1.26784454143361,0.162,0.309,0,-0.147
"158","CCL20",0,4.50505046294811,0.169,0.023,0,0.146
"159","TTC3",0,1.57212203544984,0.233,0.087,0,0.146
"160","SELENBP1",0,-1.16408491410277,0.42,0.566,0,-0.146
"161","C12orf75",0,1.21266601938698,0.286,0.14,0,0.146
"162","HLA-DMA",0,2.87291710906937,0.171,0.026,0,0.145
"163","HSP90AB1",0,0.673247190835977,0.616,0.471,0,0.145
"164","ATF3",0,1.41898574387968,0.26,0.116,0,0.144
"165","SDCBP",0,1.14082841945313,0.272,0.128,0,0.144
"166","CXCL1",0,4.88857097310607,0.158,0.014,0,0.144
"167","HNRNPC",0,0.799890937416858,0.37,0.226,0,0.144
"168","DNAJA1",0,0.893999336036031,0.325,0.182,0,0.143
"169","C9orf16",0,0.747743195428816,0.363,0.22,0,0.143
"170","FCGRT",0,-1.09795390652765,0.438,0.581,0,-0.143
"171","YBX3",0,1.34702710713512,0.254,0.112,0,0.142
"172","ETS2",0,1.19976255597553,0.267,0.125,0,0.142
"173","DMBT1",0,3.1177148423077,0.179,0.037,0,0.142
"174","MANF",0,1.26689287627456,0.273,0.132,0,0.141
"175","PTMS",0,1.21169107192533,0.262,0.121,0,0.141
"176","ACAA2",0,-1.08178366434076,0.27,0.411,0,-0.141
"177","ITLN1",0,2.32171982761989,0.32,0.18,0,0.14
"178","ASPH",0,1.91419081430039,0.196,0.056,0,0.14
"179","MS4A12",0,-0.924181644799074,0.136,0.276,0,-0.14
"180","ASS1",0,1.27310815505345,0.311,0.171,0,0.14
"181","CHP2",0,-1.31532916234392,0.15,0.29,0,-0.14
"182","SERBP1",0,0.731333418289804,0.404,0.265,0,0.139
"183","SEC62",0,0.885980909615064,0.336,0.197,0,0.139
"184","MAL2",0,1.41215497823732,0.262,0.123,0,0.139
"185","KLF4",0,0.769691344854718,0.398,0.259,0,0.139
"186","CEACAM6",0,2.9841982743029,0.218,0.079,0,0.139
"187","SSR3",0,0.993635997624853,0.308,0.169,0,0.139
"188","PPP1CB",0,1.38692794338475,0.242,0.104,0,0.138
"189","TOMM7",0,0.526564487739855,0.67,0.532,0,0.138
"190","CKAP4",0,1.90130070795368,0.196,0.058,0,0.138
"191","PPP1R15A",0,1.19162859065584,0.266,0.128,0,0.138
"192","PDZK1IP1",0,1.50935238260836,0.297,0.159,0,0.138
"193","SLC26A2",0,-0.385710964505407,0.212,0.35,0,-0.138
"194","HEBP2",0,1.06228686225775,0.287,0.149,0,0.138
"195","FAM3C",0,2.2621318128685,0.18,0.042,0,0.138
"196","IDH2",0,0.932831700524402,0.366,0.228,0,0.138
"197","C10orf99",0,-0.423940745287731,0.451,0.589,0,-0.138
"198","FAM120A",0,1.38019369851733,0.245,0.108,0,0.137
"199","GFPT1",0,1.32354317998048,0.24,0.104,0,0.136
"200","TRA2B",0,1.17188947814014,0.256,0.12,0,0.136
"201","IFI27L2",0,1.52026629205989,0.216,0.081,0,0.135
"202","SRSF2",0,0.720392935162379,0.356,0.221,0,0.135
"203","CAPZA1",0,1.68060419206932,0.201,0.067,0,0.134
"204","SNRPE",0,0.822524187085126,0.374,0.24,0,0.134
"205","OST4",0,0.594216638015358,0.7,0.566,0,0.134
"206","C4orf3",0,0.982787996855149,0.286,0.152,0,0.134
"207","OSTC",0,0.89047927567933,0.314,0.181,0,0.133
"208","HSPE1",0,0.665091862460334,0.642,0.51,0,0.132
"209","SSR1",0,1.66321853939362,0.202,0.07,0,0.132
"210","DSP",0,1.21726383111989,0.261,0.129,0,0.132
"211","NR4A1",0,1.25245183077586,0.252,0.12,0,0.132
"212","CRELD2",0,1.58047490068485,0.219,0.087,0,0.132
"213","GSPT1",0,1.46087833824818,0.211,0.08,0,0.131
"214","DDX17",0,1.21645313822956,0.25,0.119,0,0.131
"215","C4orf48",0,-0.960894344945889,0.204,0.334,0,-0.13
"216","HMGA1",0,0.934556183161388,0.317,0.187,0,0.13
"217","PSMB9",0,1.10692209820026,0.294,0.164,0,0.13
"218","GOLIM4",0,1.50938209696913,0.216,0.087,0,0.129
"219","MORF4L2",0,0.940304517849595,0.27,0.142,0,0.128
"220","IVNS1ABP",0,1.57643981269329,0.201,0.073,0,0.128
"221","GOLGA4",0,1.40229399339348,0.211,0.083,0,0.128
"222","SLC26A3",0,-0.84376030558295,0.246,0.374,0,-0.128
"223","KIF5B",0,0.856579773399182,0.301,0.173,0,0.128
"224","DDX21",0,1.48742931171695,0.205,0.077,0,0.128
"225","DEK",0,1.08621613733501,0.271,0.144,0,0.127
"226","CREB3L1",0,1.49487631289089,0.198,0.071,0,0.127
"227","HSD17B2",0,-1.73296385267544,0.085,0.212,0,-0.127
"228","EIF5B",0,0.962861235954168,0.266,0.14,0,0.126
"229","SPINK5",0,3.42861111402269,0.156,0.03,0,0.126
"230","QSOX1",0,1.42482576853808,0.216,0.091,0,0.125
"231","BTG2",0,1.2656648469373,0.245,0.12,0,0.125
"232","TMEM123",0,1.29501980538623,0.216,0.091,0,0.125
"233","LMAN1",0,1.65893948461384,0.185,0.06,0,0.125
"234","PIM3",0,1.83954432498486,0.179,0.054,0,0.125
"235","HDLBP",0,0.883944221258024,0.291,0.166,0,0.125
"236","RBM47",0,1.02410898812206,0.276,0.152,0,0.124
"237","DHRS11",0,-1.16246166400421,0.145,0.269,0,-0.124
"238","SOX4",0,1.30399276710815,0.25,0.126,0,0.124
"239","HSPA1B",0,0.891554861402903,0.314,0.19,0,0.124
"240","AKR1B10",0,-1.14337442777051,0.098,0.222,0,-0.124
"241","TM9SF2",0,1.21304501339522,0.22,0.096,0,0.124
"242","SFPQ",0,0.92482855820118,0.281,0.158,0,0.123
"243","SERPINA1",0,1.78071980407274,0.232,0.109,0,0.123
"244","SLC44A1",0,1.10459781755743,0.247,0.124,0,0.123
"245","DDX3X",0,1.36379562573254,0.206,0.083,0,0.123
"246","SLC40A1",0,2.72083926366759,0.163,0.042,0,0.121
"247","APIP",0,1.90388687569583,0.189,0.068,0,0.121
"248","CLTC",0,1.2713612850587,0.219,0.098,0,0.121
"249","HNRNPDL",0,0.946998355295079,0.262,0.142,0,0.12
"250","RBM25",0,1.09972892523873,0.232,0.112,0,0.12
"251","IQGAP1",0,1.47937543044734,0.195,0.075,0,0.12
"252","STAT3",0,1.46094362280383,0.199,0.079,0,0.12
"253","ATP8B1",0,1.14679648169081,0.233,0.113,0,0.12
"254","EIF4B",0,0.956963009297642,0.255,0.135,0,0.12
"255","RPN1",0,0.949967262340843,0.272,0.153,0,0.119
"256","GNAQ",0,2.01699688601251,0.162,0.043,0,0.119
"257","SLC51B",0,-1.62453833070223,0.084,0.203,0,-0.119
