"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj","cluster","gene"
"GZMH",0,1.71178014471711,0.861,0.307,0,"0","GZMH"
"GZMB",0,2.1919755327029,0.731,0.188,0,"0","GZMB"
"FGFBP2",0,2.12556537909395,0.689,0.181,0,"0","FGFBP2"
"PRF1",0,1.78159944700839,0.811,0.32,0,"0","PRF1"
"FCGR3A",0,2.45575969104284,0.622,0.138,0,"0","FCGR3A"
"GNLY",0,1.65707416788098,0.844,0.362,0,"0","GNLY"
"EFHD2",0,1.44120578874391,0.884,0.412,0,"0","EFHD2"
"ZEB2",0,1.11510245186131,0.874,0.427,0,"0","ZEB2"
"CST7",0,1.20246711961372,0.975,0.536,0,"0","CST7"
"GZMA",0,1.03495069469228,0.801,0.379,0,"0","GZMA"
"ADGRG1",0,1.93301463334434,0.567,0.155,0,"0","ADGRG1"
"S1PR5",0,1.6564013137886,0.586,0.182,0,"0","S1PR5"
"KLRD1",0,1.2870221299604,0.733,0.342,0,"0","KLRD1"
"CCL4",0,1.30616175878207,0.603,0.226,0,"0","CCL4"
"NKG7",0,1.40435954800531,0.999,0.625,0,"0","NKG7"
"PLEK",0,1.33544348864848,0.602,0.235,0,"0","PLEK"
"TGFBR3",0,1.10106072533901,0.545,0.227,0,"0","TGFBR3"
"PYHIN1",0,0.833404550555179,0.646,0.341,0,"0","PYHIN1"
"CX3CR1",0,2.05748791594055,0.394,0.094,0,"0","CX3CR1"
"TBX21",0,1.33948203594706,0.492,0.194,0,"0","TBX21"
"KLRF1",0,1.91482419538763,0.394,0.1,0,"0","KLRF1"
"CCL5",0,0.753281470286289,0.998,0.704,0,"0","CCL5"
"GZMM",0,0.755238864058607,0.773,0.482,0,"0","GZMM"
"CTSC",0,1.03946406355997,0.559,0.28,0,"0","CTSC"
"FCRL6",0,1.22119038660315,0.482,0.203,0,"0","FCRL6"
"SYNE1",0,0.679904006551967,0.765,0.489,0,"0","SYNE1"
"TYROBP",0,1.96655185229474,0.395,0.125,0,"0","TYROBP"
"CD8A",0,1.87600090754992,0.388,0.119,0,"0","CD8A"
"CEP78",0,1.13809722884617,0.475,0.209,0,"0","CEP78"
"ABHD17A",0,0.84138631108553,0.791,0.526,0,"0","ABHD17A"
"SYNE2",0,0.59316032274111,0.815,0.552,0,"0","SYNE2"
