"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj","cluster","gene"
"CCL5",4.45239903477952e-45,0.75176717901332,0.993,0.913,2.66436010640241e-40,"0","CCL5"
"ID3",7.33674119134428e-40,1.122734134017,0.63,0.244,4.39037929631233e-35,"0","ID3"
"FCER1G",4.72917293409914e-37,1.26974021776315,0.633,0.264,2.82998437549426e-32,"0","FCER1G"
"KIR2DL4",2.22247389966165e-36,0.973849787438206,0.81,0.425,1.32995060629653e-31,"0","KIR2DL4"
"CD7",3.1798460369369e-35,0.735240580916466,0.979,0.83,1.90285166696341e-30,"0","CD7"
"HOPX",4.48232712011579e-32,0.845752364665252,0.827,0.49,2.68226937194849e-27,"0","HOPX"
"TMIGD2",1.33233876987878e-31,0.871226583056835,0.761,0.397,7.97284843283158e-27,"0","TMIGD2"
"GAPDH",1.36477187890739e-30,0.837775760872645,0.919,0.739,8.16693140056971e-26,"0","GAPDH"
"ACTR2",8.47075347676163e-30,1.02075978959369,0.841,0.641,5.06898358802893e-25,"0","ACTR2"
"TMSB4X",1.91031240404997e-28,0.53980369959338,0.995,0.944,1.14315004570754e-23,"0","TMSB4X"
"IL2RB",1.27857067995778e-27,0.760675134544336,0.948,0.808,7.65109480593537e-23,"0","IL2RB"
"TRDV1",3.44861887235294e-27,0.826938895549204,0.791,0.495,2.06368801940472e-22,"0","TRDV1"
"ACTB",4.38104510295713e-26,0.519447693042178,0.998,0.944,2.62166120006058e-21,"0","ACTB"
"LSP1",7.32875829642201e-26,0.822144474120331,0.889,0.672,4.3856022521619e-21,"0","LSP1"
"CD160",1.37825965702795e-25,0.86228834426519,0.716,0.375,8.24764361362094e-21,"0","CD160"
"GPR15",1.54573511118363e-25,0.914284141558246,0.635,0.322,9.24983347883399e-21,"0","GPR15"
"KLRC2",2.2389756511203e-25,0.596329978799927,0.927,0.638,1.3398254193869e-20,"0","KLRC2"
"CD3G",3.93665289309285e-25,0.79479808360881,0.934,0.734,2.35573245775569e-20,"0","CD3G"
"SH2D1B",6.27320995904584e-25,1.46986931989866,0.391,0.138,3.75395157159262e-20,"0","SH2D1B"
"CD96",3.01549290348384e-24,0.630929063268709,0.964,0.794,1.80450110837377e-19,"0","CD96"
"SET",4.05846153044802e-24,0.615887801807427,0.903,0.703,2.4286239644354e-19,"0","SET"
"LRRN3",4.92977570813138e-24,1.70254754951451,0.365,0.133,2.9500270815029e-19,"0","LRRN3"
"SIRPG",7.59790753303861e-24,0.874486531850325,0.69,0.387,4.54666384684563e-19,"0","SIRPG"
"FTL",2.40242117890457e-23,0.557206255797161,0.943,0.763,1.43763285766828e-18,"0","FTL"
"TRGV4",3.74197933485527e-23,0.645966433389385,0.73,0.428,2.23923785377074e-18,"0","TRGV4"
"TPI1",4.94571694824999e-23,0.826415521286873,0.789,0.529,2.95956647900227e-18,"0","TPI1"
"CD3E",1.24656295416936e-22,0.60114852736711,0.95,0.774,7.45955737404485e-18,"0","CD3E"
"PCBP2",2.41296238463364e-22,0.631885125118939,0.865,0.697,1.44394082058862e-17,"0","PCBP2"
"LAT2",2.61307818849066e-22,0.896034394960412,0.602,0.322,1.56369211877469e-17,"0","LAT2"
"KLRC3",3.50331327542762e-22,0.637146325138712,0.791,0.501,2.09641769714864e-17,"0","KLRC3"
"TIGIT",2.41998359099881e-21,0.996907489971583,0.609,0.343,1.4481423806896e-16,"0","TIGIT"
"CCR9",4.1277191452846e-21,2.74461361687086,0.19,0.037,2.47006841372976e-16,"0","CCR9"
"FES",4.36829386726483e-21,0.88219981774557,0.379,0.144,2.61403073310995e-16,"0","FES"
"ENSG00000227240",5.6149248444567e-20,0.691067637106138,0.36,0.129,3.36002717617133e-15,"0","ENSG00000227240"
"YBX1",1.15885306085028e-19,0.647308595888469,0.846,0.617,6.93469260143418e-15,"0","YBX1"
"PELO-AS1",1.44993939256941e-19,1.02041302516469,0.424,0.19,8.67658231907461e-15,"0","PELO-AS1"
"TRAC",1.46968789660129e-19,0.622324654593291,0.87,0.598,8.79475934205179e-15,"0","TRAC"
"PKM",1.59253475425439e-19,0.867745539039694,0.742,0.525,9.5298872229337e-15,"0","PKM"
"PTMA",1.68837746569248e-19,0.477921161326694,0.979,0.877,1.01034195924504e-14,"0","PTMA"
"TRDC",2.05829262938334e-19,0.552794483272707,0.945,0.79,1.23170289234928e-14,"0","TRDC"
"CD164",2.33280995252095e-19,0.836412391504572,0.668,0.436,1.39597680368806e-14,"0","CD164"
"ADRB1",3.77167222911819e-19,0.552919990804928,0.581,0.31,2.25700637862662e-14,"0","ADRB1"
"LAPTM5",5.9284631873964e-19,0.526514623510531,0.893,0.672,3.54765165596988e-14,"0","LAPTM5"
"RNF187",9.23332563949472e-19,1.0048556084102,0.521,0.276,5.52531439593003e-14,"0","RNF187"
"ITM2B",9.52650551668632e-19,0.642756364228358,0.855,0.624,5.70075616624026e-14,"0","ITM2B"
"EEF2",1.35747993973286e-18,0.635286434314219,0.877,0.694,8.12329570735541e-14,"0","EEF2"
"COTL1",1.37141503146961e-18,0.670660957196827,0.796,0.554,8.20668468981732e-14,"0","COTL1"
"CDIP1",2.84795781699343e-18,0.978925030785013,0.474,0.251,1.70424643726704e-13,"0","CDIP1"
"NCR2",3.0224638897041e-18,1.58772392426115,0.22,0.059,1.80867261623783e-13,"0","NCR2"
"ARF6",6.29694645526096e-18,0.690491960037703,0.82,0.625,3.76815572829271e-13,"0","ARF6"
"CD63",7.41697496795648e-18,0.553643547305895,0.829,0.554,4.43839199057484e-13,"0","CD63"
"TMSB4XP8",9.30858064356914e-18,0.60408839276796,0.896,0.708,5.57034774291821e-13,"0","TMSB4XP8"
"H4C3",1.14475544472033e-17,0.22708662709698,0.851,0.573,6.85033105675093e-13,"0","H4C3"
