"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj","cluster","gene"
"CXCR4",8.95332298604272e-51,1.31293175496719,0.84,0.543,1.39036152650257e-46,"0","CXCR4"
"RGCC",3.6916423703839e-48,1.74469132384681,0.627,0.289,5.73275143696915e-44,"0","RGCC"
"EIF1",1.58329457907575e-33,0.529043473333527,0.976,0.946,2.45869815184673e-29,"0","EIF1"
"DUSP2",2.14558837035305e-33,1.34257728636195,0.653,0.417,3.33188418032126e-29,"0","DUSP2"
"DNAJB1",2.60217418657298e-32,1.33845248266126,0.64,0.371,4.04091629432918e-28,"0","DNAJB1"
"MALAT1",2.96150909317702e-31,0.504518136629558,1,0.979,4.59892747079459e-27,"0","MALAT1"
"GZMK",1.63503141659271e-29,1.72272609432194,0.39,0.153,2.53904028682682e-25,"0","GZMK"
"DNAJA1",2.20052886265325e-29,1.13127747974334,0.727,0.509,3.41720127081424e-25,"0","DNAJA1"
"YPEL5",9.61485454907963e-28,1.04817037924115,0.705,0.457,1.49309076292658e-23,"0","YPEL5"
"BTG1",3.1236712630195e-27,0.737351073425978,0.9,0.772,4.85074910434298e-23,"0","BTG1"
"LTB",3.26799271877199e-27,1.19638034042166,0.49,0.24,5.07486589298102e-23,"0","LTB"
"JUNB",5.49646574929322e-27,1.00440235341006,0.822,0.631,8.53546166207744e-23,"0","JUNB"
"IL7R",5.61516959728482e-24,1.51606120228362,0.353,0.143,8.71979686762359e-20,"0","IL7R"
"TNFAIP3",7.08503779418502e-24,1.12597797046319,0.544,0.319,1.10023551905899e-19,"0","TNFAIP3"
"ZFP36L2",7.88403619178607e-24,0.846272887934435,0.781,0.622,1.22431198022246e-19,"0","ZFP36L2"
"HSPA8",2.12716809283339e-23,0.680809366134323,0.885,0.768,3.30327933136096e-19,"0","HSPA8"
"GPR183",3.9051362911182e-22,1.71063071888113,0.295,0.11,6.06428614647746e-18,"0","GPR183"
"SPOCK2",8.6924285705575e-22,1.81397492120007,0.275,0.097,1.34984723272187e-17,"0","SPOCK2"
"LMNA",2.0195489566499e-21,1.52335125787603,0.351,0.158,3.13615757478163e-17,"0","LMNA"
"CD6",1.16907196373956e-20,1.95540781464167,0.189,0.048,1.81545185249117e-16,"0","CD6"
"HSP90AA1",2.51409768363251e-20,0.806726660596837,0.827,0.721,3.90414229291293e-16,"0","HSP90AA1"
"BCL11B",3.92035486644853e-20,2.22312179594975,0.199,0.057,6.08791907210792e-16,"0","BCL11B"
"CD28",6.31039798193108e-20,3.15244293986232,0.095,0.007,9.79941702614077e-16,"0","CD28"
"SRSF2",2.91468698752187e-18,0.798421376079113,0.66,0.487,4.52621742292271e-14,"0","SRSF2"
"HSPA1B",3.54705223021077e-16,1.40867566789072,0.419,0.244,5.5082174082943e-12,"0","HSPA1B"
"LIME1",3.77611338637355e-16,2.16810552931946,0.156,0.043,5.86392647769948e-12,"0","LIME1"
"H3F3B",4.57057654012619e-16,0.479800329157506,0.97,0.913,7.09764830916196e-12,"0","H3F3B"
"ANXA1",4.61954278804375e-16,1.44864594148625,0.505,0.345,7.17368799555314e-12,"0","ANXA1"
"SOCS3",8.05342871804156e-16,1.3828435242598,0.28,0.128,1.25061694562467e-11,"0","SOCS3"
"BTG2",1.16853623370542e-15,0.68089630933544,0.616,0.418,1.81461991732115e-11,"0","BTG2"
"CD5",1.79164179377413e-15,3.65790181771767,0.082,0.009,2.78224054155185e-11,"0","CD5"
"CREM",2.00632209788478e-15,0.673812628911604,0.692,0.484,3.11561758580527e-11,"0","CREM"
"MCL1",1.25286158289492e-14,0.724953849160506,0.622,0.442,1.94556875207752e-10,"0","MCL1"
"CD27",1.27833400907759e-14,1.34848005295512,0.221,0.087,1.98512488269659e-10,"0","CD27"
"TUBA4A",2.14535354396467e-14,1.19306003148668,0.451,0.289,3.33151951842273e-10,"0","TUBA4A"
"FTH1",3.67757283962698e-14,0.696638364162101,0.922,0.876,5.71090286265674e-10,"0","FTH1"
"ARID5B",5.9279770411489e-14,1.55381984283084,0.232,0.099,9.20555554720012e-10,"0","ARID5B"
"DUSP1",1.84429098916174e-13,0.67833140606727,0.688,0.527,2.86399947706926e-09,"0","DUSP1"
"MYADM",3.76725678276883e-13,1.09973509752556,0.371,0.221,5.85017305796172e-09,"0","MYADM"
"TSC22D3",7.88467180348802e-13,0.649088871697773,0.638,0.469,1.22441068436365e-08,"0","TSC22D3"
"NR4A2",2.87084893388471e-12,0.548860110993604,0.62,0.441,4.45814130942956e-08,"0","NR4A2"
"SIT1",4.05256014458262e-12,2.11916987311714,0.104,0.025,6.29322064852235e-08,"0","SIT1"
"EZR",5.44505902347314e-12,0.8921758277711,0.462,0.319,8.45563215755145e-08,"0","EZR"
"CITED2",9.91203785477517e-12,0.836103104702218,0.393,0.25,1.53924035846804e-07,"0","CITED2"
"KLRG1",1.63246664515096e-11,1.25112091306014,0.189,0.077,2.53505745325492e-07,"0","KLRG1"
"ZFAS1",2.03997316141392e-11,0.703866276483923,0.557,0.431,3.16787432235967e-07,"0","ZFAS1"
"B2M",2.17267912009718e-11,0.197135232223077,1,0.993,3.3739534055989e-07,"0","B2M"
"CCR7",2.45778810038002e-11,2.92714361428417,0.104,0.028,3.81669914108014e-07,"0","CCR7"
"PDCD1",2.94456847671304e-11,3.59992212140222,0.058,0.006,4.57262038748768e-07,"0","PDCD1"
"SRGN",3.68890910283344e-11,0.405982613228304,0.907,0.858,5.72850694579005e-07,"0","SRGN"
"NPM1",4.51662380406993e-11,0.433294774970176,0.807,0.725,7.0138651053402e-07,"0","NPM1"
"LEF1",4.61927146102483e-11,2.35129879885398,0.083,0.017,7.17326665182546e-07,"0","LEF1"
"CALM2",6.87262179032825e-11,0.479770672042893,0.774,0.668,1.06724943782007e-06,"0","CALM2"
"PNRC1",8.43067584581871e-11,0.763935126725207,0.579,0.447,1.30919965209719e-06,"0","PNRC1"
"DDIT4",9.87945400007718e-11,0.783602514227527,0.508,0.372,1.53418041167198e-06,"0","DDIT4"
"DNAJB6",1.6311609087324e-10,0.634210756853179,0.571,0.422,2.53302977517054e-06,"0","DNAJB6"
"TRAT1",1.85083620559056e-10,1.07174149275957,0.256,0.137,2.87416354366157e-06,"0","TRAT1"
"EEF1A1",2.21473678743185e-10,0.312226023154023,1,0.997,3.43926475720291e-06,"0","EEF1A1"
"HSPA1A",2.35742943802936e-10,1.08010016676896,0.475,0.337,3.66085217431579e-06,"0","HSPA1A"
"NFKBIA",5.0319095530116e-10,0.543817423707996,0.503,0.347,7.81405234487171e-06,"0","NFKBIA"
"ZNF331",7.18425496117514e-10,0.505543231458251,0.562,0.397,1.11564295292089e-05,"0","ZNF331"
"BIRC3",9.37006081626595e-10,0.697427090444474,0.382,0.241,1.45507674415794e-05,"0","BIRC3"
"UBE2B",1.59478686274288e-09,0.865541136046385,0.375,0.254,2.47654451915341e-05,"0","UBE2B"
"TPT1",2.00477257529788e-09,0.284903036221909,0.983,0.956,3.11321133218008e-05,"0","TPT1"
"IFNG",2.52616797897654e-09,1.55912566585567,0.223,0.116,3.92288625455267e-05,"0","IFNG"
"TRAC",2.63473036177793e-09,0.565704437348482,0.584,0.454,4.09147277880495e-05,"0","TRAC"
