ID,Description,setSize,enrichmentScore,NES,pvalue,p.adjust,qvalue,rank,leading_edge,core_enrichment
R-HSA-389948,PD-1 signaling,20,0.8368393072711625,2.0404680945259783,4.609167739506304e-6,0.002618364444107377,0.002425107354663312,846,"tags=45%, list=6%, signal=42%",920/5133/3122/3119/3120/3117/3127/3123/3115
R-HSA-388841,Costimulation by the CD28 family,62,0.6458681335676193,1.9394413536607986,5.788572831482779e-6,0.002618364444107377,0.002425107354663312,1868,"tags=27%, list=13%, signal=24%",1493/920/940/5133/3122/3119/3120/151888/3117/3127/3123/3115/117145/8764/3113/7409/5063
R-HSA-500792,GPCR ligand binding,115,0.5800718363267794,1.8904131465218716,1.9438711124188603e-6,0.002618364444107377,0.002425107354663312,1137,"tags=30%, list=8%, signal=28%",53637/1524/10563/154/1901/729230/1240/10800/1236/6010/3577/6364/3579/58191/10267/2912/2149/797/3357/1233/643/1880/259294/6915/6351/7433/6348/6019/1269/51738/5727/2919/8643/23596/7855
R-HSA-202427,Phosphorylation of CD3 and TCR zeta chains,20,0.8245485879565367,2.0104995923268554,1.1418504656319124e-5,0.0038737277046562626,0.0035878143578013245,846,"tags=45%, list=6%, signal=42%",920/3122/3119/3120/3117/55824/3127/3123/3115
R-HSA-202430,Translocation of ZAP-70 to Immunological synapse,17,0.8288040950976645,1.9556710543099356,4.07386655172338e-5,0.005448138032800826,0.0050460200994175905,846,"tags=47%, list=6%, signal=44%",920/3122/3119/3120/3117/3127/3123/3115
R-HSA-381426,Regulation of Insulin-like Growth Factor (IGF) transport and uptake by Insulin-like Growth Factor Binding Proteins (IGFBPs),49,0.6681080859333375,1.936469718469282,3.93061818577945e-5,0.005448138032800826,0.0050460200994175905,1138,"tags=29%, list=8%, signal=26%",3487/11098/2999/1471/3485/3913/3489/3490/348/10970/54972/3912/2621/2335
R-HSA-6803157,Antimicrobial peptides,14,0.8466919180566866,1.918579245024506,4.861123530572407e-5,0.005448138032800826,0.0050460200994175905,1206,"tags=57%, list=9%, signal=52%",1191/920/729230/6039/3934/5320/5266/5645
R-HSA-373076,Class A/1 (Rhodopsin-like receptors),86,0.5929627388890403,1.8668229652686605,2.4783495236827214e-5,0.005448138032800826,0.0050460200994175905,1132,"tags=31%, list=8%, signal=29%",53637/1524/10563/154/1901/729230/1240/10800/1236/6010/3577/6364/3579/58191/2149/3357/1233/643/1880/6915/6351/6348/6019/1269/51738/2919/23596
R-HSA-6785807,Interleukin-4 and Interleukin-13 signaling,70,0.612346621428122,1.8640667591292184,3.233502262073676e-5,0.005448138032800826,0.0050460200994175905,1192,"tags=26%, list=8%, signal=24%",3687/7412/1901/3684/7124/3570/4582/3934/3689/58480/332/149233/6657/9021/10538/6097/2335/5008
R-HSA-198933,Immunoregulatory interactions between a Lymphoid and a non-Lymphoid cell,84,0.5923120624886143,1.8547284242063091,3.802600734633457e-5,0.005448138032800826,0.0050460200994175905,762,"tags=26%, list=5%, signal=25%",56654/51348/7412/959/6402/3904/930/10219/27036/3802/2214/11314/3689/958/1308/1280/5817/11006/3811/4068/259197/3804
R-HSA-2500257,Resolution of Sister Chromatid Cohesion,105,0.5659747096387695,1.8221900077990856,2.8181080156953903e-5,0.005448138032800826,0.0050460200994175905,2887,"tags=35%, list=20%, signal=28%",1062/57082/347733/991/2491/113130/332/79682/147841/983/701/1063/54908/79019/81027/4085/79172/84790/348235/151648/10403/9212/79023/401541/55839/151246/11243/7277/9183/55143/5347/10383/55166/891/54820/5525/8379
