ID,Description,setSize,enrichmentScore,NES,pvalue,p.adjust,qvalue,rank,leading_edge,core_enrichment
R-HSA-6799198,Complex I biogenesis,51,-0.7221541950772545,-3.0640271137204946,1e-10,1.331e-7,1.225263157894737e-7,1731,"tags=78%, list=17%, signal=66%",4728/4696/4710/4718/4717/137682/4713/4700/4698/4714/4707/55471/54539/51079/4708/4712/4706/4711/51103/4695/4704/55967/4709/79133/4701/4719/126328/4694/374291/4715/25880/4724/4720/4702/51295/4723/4729/4705/4722/4716
R-HSA-6803157,Antimicrobial peptides,18,0.8886193733069275,2.040677054945673,3.7104047727830184e-7,1.2346371881435494e-4,1.1365555672419563e-4,629,"tags=67%, list=6%, signal=63%",1673/5068/1670/1671/6280/5266/3934/4069/5320/55600/538/1191
R-HSA-1474244,Extracellular matrix organization,120,0.6290704810594491,1.6958295196774262,3.498380565574302e-7,1.2346371881435494e-4,1.1365555672419563e-4,1356,"tags=38%, list=13%, signal=34%",4316/4314/655/7076/9672/2331/3383/4312/3673/1278/7177/56999/3696/4680/2335/3911/3915/1277/84034/3655/652/8754/3694/4052/3918/960/3912/375790/1307/5578/3685/3384/10753/1298/3672/7077/650/3913/388743/3909/4323/3691/8751/59277/5033/1281
R-HSA-69278,"Cell Cycle, Mitotic",452,0.5027579505917698,1.404671020831328,2.9441837940989704e-7,1.2346371881435494e-4,1.1365555672419563e-4,2749,"tags=40%, list=27%, signal=31%",701/11004/22822/23175/6241/1063/51512/1058/83540/147841/1062/1029/3161/23397/84617/9088/11065/994/1763/332/9212/23594/64151/7153/28227/81620/84296/9493/23310/991/22974/983/891/5347/8318/1869/9738/113130/4660/80028/3717/898/1454/4605/890/4067/1021/4175/4751/7298/27338/7465/9232/57405/5933/51659/54892/2305/220134/10112/5578/2033/1028/7083/990/993/699/5427/5984/1875/64105/2237/54908/23354/4171/55143/84131/54820/26271/22897/10762/995/10783/10592/29935/55388/10403/10714/6418/79019/23592/9133/91687/9837/7280/7846/286826/9631/5905/7514/595/1017/10051/7840/3796/23332/7112/5529/55706/6249/4085/5108/9662/8243/23198/55166/157570/894/114799/23047/57551/1876/996/9883/5422/348995/10776/5903/55755/5520/4001/23291/6790/79172/9918/1871/23122/1031/114791/3842/11130/11064/6683/255919/55559/5594/9793/7443/1719/91768/3930/140609/55920/5985/5516/6502/57122/3837/5711/22919/23649/80152/1459/440145/91750/64900/64946/9972/1859/80097/1778/5698/23165/5716/23244/9700/4174/8697/5527/203068/7157/79003/5925
R-HSA-77289,Mitochondrial Fatty Acid Beta-Oxidation,29,-0.6600615522517784,-2.641383047144401,4.6834878988870616e-7,1.2467444786837356e-4,1.1477010345904296e-4,793,"tags=66%, list=8%, signal=61%",6296/37/5095/51102/58488/4706/1622/3030/5096/3033/34/3032/55856/10965/1892/1666/10449/35/80221
R-HSA-6785807,Interleukin-4 and Interleukin-13 signaling,63,0.706781097544867,1.850925068557137,5.897106936772374e-7,1.3081748888073383e-4,1.2042513112987797e-4,1408,"tags=48%, list=14%, signal=41%",6288/4314/4843/301/3934/7076/240/3383/3553/4312/4582/1278/9021/332/2335/51561/3911/8651/3976/3717/6772/3091/6774/604/7422/7133/7184/5295/595/1052
R-HSA-390918,Peroxisomal lipid metabolism,26,-0.6629870979381017,-2.694567420088578,1.5644913463016868e-6,2.974768545610779e-4,2.7384480106694187e-4,1653,"tags=73%, list=16%, signal=61%",26063/10478/3295/6342/1962/79777/11001/30/54677/51/55825/10455/283927/10005/1384/5264/8309/122970/23600
R-HSA-9033241,Peroxisomal protein import,56,-0.48268295183275517,-2.0827172580692452,2.4424379458381264e-6,4.0636061323881827e-4,3.740786538099446e-4,1145,"tags=46%, list=11%, signal=41%",1962/5195/3155/3417/11001/30/7314/54677/373156/55670/51/1891/55825/10455/2053/283927/10965/10005/1384/5264/847/8309/1610/122970/23600/189
R-HSA-375276,Peptide ligand-binding receptors,43,0.7331153208553847,1.8709429209524522,3.591479396324236e-6,5.311398973897286e-4,4.889452651837907e-4,263,"tags=30%, list=3%, signal=30%",6373/6374/387129/6288/2919/51083/301/2920/2921/5196/6364/4828/10874
R-HSA-1474228,Degradation of the extracellular matrix,57,0.6975191419549719,1.8117844284577267,4.184222059368884e-6,5.569199561019985e-4,5.126773133795139e-4,1356,"tags=42%, list=13%, signal=37%",4316/4314/7076/4312/1278/7177/56999/2335/3911/3915/1277/8754/3918/960/3912/1307/10753/1298/7077/388743/3909/4323/8751/1281
